Ticket_ID,Subject,Description,Category,Priority,Timestamp
1,Feature Broken,The screen goes blank when I open settings.,Bug Report,Critical,2025-06-07 11:33:07.454948
2,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-05-14 17:55:07.454948
3,2FA Issue,I can't reset my password.,Account Management,Medium,2025-06-01 16:06:07.454948
4,New Feature Suggestion,It would be great if we could sync data.,Feature Request,High,2025-07-15 23:00:07.454948
5,Login Error,Login fails even with correct credentials.,Bug Report,High,2025-07-16 21:03:07.454948
6,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,Medium,2025-06-08 18:17:07.454948
7,Login Error,The notifications is not working after the latest update.,Bug Report,Critical,2025-06-15 15:45:07.454948
8,Password Reset,My account is locked without reason.,Account Management,High,2025-04-19 06:20:07.454948
9,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Medium,2025-05-28 07:11:07.454948
10,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,Low,2025-06-23 00:58:07.454948
11,Refund Request,I was charged twice for my subscription.,Billing Inquiry,High,2025-08-01 13:32:07.454948
12,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,Critical,2025-04-20 20:23:07.454948
13,Account Locked,Two-factor authentication not working.,Account Management,Medium,2025-08-03 14:07:07.454948
14,Invoice Question,How do I upgrade my billing plan?,Billing Inquiry,Critical,2025-04-16 15:33:07.454948
15,App Crash,The search is not working after the latest update.,Bug Report,Low,2025-06-15 23:03:07.454948
16,2FA Issue,I can't reset my password.,Account Management,Critical,2025-08-30 06:43:07.454948
17,Login Error,Error message 'Timeout' appears when I try to sync data.,Bug Report,Medium,2025-04-16 03:22:07.454948
18,Connection Failed,I can't connect to the database despite correct settings.,Technical Issue,High,2025-05-18 12:50:07.454948
19,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Critical,2025-09-18 19:21:07.454948
20,2FA Issue,Email not updating in profile settings.,Account Management,Medium,2025-06-28 13:33:07.454948
21,Invoice Question,Refund request for unused service period.,Billing Inquiry,Critical,2025-05-05 23:05:07.454948
22,Password Reset,Email not updating in profile settings.,Account Management,High,2025-04-30 11:11:07.454948
23,Connection Failed,SSL certificate error on your domain.,Technical Issue,Critical,2025-05-06 22:42:07.454948
24,Connection Failed,API returns 500 error when calling /api/users.,Technical Issue,Medium,2025-09-17 12:55:07.454948
25,Connection Failed,Integration with Zapier is failing.,Technical Issue,Medium,2025-06-01 02:12:07.454948
26,Account Locked,Two-factor authentication not working.,Account Management,High,2025-08-06 18:25:07.454948
